Metric,date,Value
Bitcoin Price USD,2026-05-10,82152.52
Bitcoin Price USD,2026-05-11,81630.4
Bitcoin Price USD,2026-05-12,80394.05
Bitcoin Price USD,2026-05-13,79419.31
Bitcoin Price USD,2026-05-14,81280.42
Bitcoin Price USD,2026-05-15,79136.63
Bitcoin Price USD,2026-05-16,78286.58
Bitcoin Price USD,2026-05-17,77709.76
Bitcoin Price USD,2026-05-18,76815.1
Bitcoin Price USD,2026-05-19,76739.61
Bitcoin Price USD,2026-05-20,77422.36
Bitcoin Price USD,2026-05-21,77633.48
Bitcoin Price USD,2026-05-22,75824.23
Bitcoin Price USD,2026-05-23,76685.06
Bitcoin Price USD,2026-05-24,76775.73
Bitcoin Price USD,2026-05-25,77122.36
Bitcoin Price USD,2026-05-26,75867.67
Bitcoin Price USD,2026-05-27,74171.78
Bitcoin Price USD,2026-05-28,73333.27
Bitcoin Price USD,2026-05-29,73303.61
Bitcoin Price USD,2026-05-30,73766.08
Bitcoin Price USD,2026-05-31,73844.88
Bitcoin Price USD,2026-06-01,71338.33
Bitcoin Price USD,2026-06-02,66853.7
Bitcoin Price USD,2026-06-03,64751.85
Bitcoin Price USD,2026-06-04,63257.25
Bitcoin Price USD,2026-06-05,61526.79
Bitcoin Price USD,2026-06-06,60758.81
Bitcoin Price USD,2026-06-07,63065.98
Bitcoin Price USD,2026-06-08,63227.95
Bitcoin Marketcap,2026-05-10,1645302243958.37
Bitcoin Marketcap,2026-05-11,1634887623043.86
Bitcoin Marketcap,2026-05-12,1610159761552.74
Bitcoin Marketcap,2026-05-13,1590671830400.66
Bitcoin Marketcap,2026-05-14,1627985945999.68
Bitcoin Marketcap,2026-05-15,1585083296455.31
Bitcoin Marketcap,2026-05-16,1568093987811.83
Bitcoin Marketcap,2026-05-17,1556574179621.21
Bitcoin Marketcap,2026-05-18,1538687197400.37
Bitcoin Marketcap,2026-05-19,1537209106550.28
Bitcoin Marketcap,2026-05-20,1550922385312.73
Bitcoin Marketcap,2026-05-21,1555182345584.97
Bitcoin Marketcap,2026-05-22,1518975750302.22
Bitcoin Marketcap,2026-05-23,1536259933343.25
Bitcoin Marketcap,2026-05-24,1538107788773.43
Bitcoin Marketcap,2026-05-25,1545091862818.07
Bitcoin Marketcap,2026-05-26,1519987992286.49
Bitcoin Marketcap,2026-05-27,1486043750700.34
Bitcoin Marketcap,2026-05-28,1469281190588.82
Bitcoin Marketcap,2026-05-29,1468719002942.82
Bitcoin Marketcap,2026-05-30,1478017835228.18
Bitcoin Marketcap,2026-05-31,1479629945652.76
Bitcoin Marketcap,2026-06-01,1429436296262.45
Bitcoin Marketcap,2026-06-02,1339598848784.06
Bitcoin Marketcap,2026-06-03,1297504322428.1
Bitcoin Marketcap,2026-06-04,1267583442171.46
Bitcoin Marketcap,2026-06-05,1232933492960.68
Bitcoin Marketcap,2026-06-06,1217567129150.31
Bitcoin Marketcap,2026-06-07,1263824377443.86
Bitcoin Marketcap,2026-06-08,1267095303890.21
Sats Per Dollar,2026-05-10,1217.2481136305983
Sats Per Dollar,2026-05-11,1225.033810933182
Sats Per Dollar,2026-05-12,1243.8731473286891
Sats Per Dollar,2026-05-13,1259.1396223412166
Sats Per Dollar,2026-05-14,1230.3086032281822
Sats Per Dollar,2026-05-15,1263.6373320420644
Sats Per Dollar,2026-05-16,1277.3581372439567
Sats Per Dollar,2026-05-17,1286.8396453675832
Sats Per Dollar,2026-05-18,1301.8273750864087
Sats Per Dollar,2026-05-19,1303.108003806639
Sats Per Dollar,2026-05-20,1291.6165304183444
Sats Per Dollar,2026-05-21,1288.1040499537055
Sats Per Dollar,2026-05-22,1318.8396374087808
Sats Per Dollar,2026-05-23,1304.0349710882406
Sats Per Dollar,2026-05-24,1302.4949420865162
Sats Per Dollar,2026-05-25,1296.6408185641621
Sats Per Dollar,2026-05-26,1318.0845016065473
Sats Per Dollar,2026-05-27,1348.2216551901545
Sats Per Dollar,2026-05-28,1363.6375413233309
Sats Per Dollar,2026-05-29,1364.1892943608098
Sats Per Dollar,2026-05-30,1355.6366286510004
Sats Per Dollar,2026-05-31,1354.1900264446228
Sats Per Dollar,2026-06-01,1401.7709694073299
Sats Per Dollar,2026-06-02,1495.8035232156187
Sats Per Dollar,2026-06-03,1544.3574199038328
Sats Per Dollar,2026-06-04,1580.8464642392769
Sats Per Dollar,2026-06-05,1625.3082600278674
Sats Per Dollar,2026-06-06,1645.851852595533
Sats Per Dollar,2026-06-07,1585.6409430250667
Sats Per Dollar,2026-06-08,1581.5790326904478
Bitcoin Supply,2026-05-10,20027410.52810517
Bitcoin Supply,2026-05-11,20027926.15304923
Bitcoin Supply,2026-05-12,20028344.90304623
Bitcoin Supply,2026-05-13,20028779.27799499
Bitcoin Supply,2026-05-14,20029251.15297989
Bitcoin Supply,2026-05-15,20029704.27797232
Bitcoin Supply,2026-05-16,20030176.15294768
Bitcoin Supply,2026-05-17,20030613.65292107
Bitcoin Supply,2026-05-18,20031051.1527079
Bitcoin Supply,2026-05-19,20031494.90270125
Bitcoin Supply,2026-05-20,20031969.90265776
Bitcoin Supply,2026-05-21,20032366.77764504
Bitcoin Supply,2026-05-22,20032854.27761313
Bitcoin Supply,2026-05-23,20033366.77761292
Bitcoin Supply,2026-05-24,20033776.15261272
Bitcoin Supply,2026-05-25,20034291.77761258
Bitcoin Supply,2026-05-26,20034726.15260875
Bitcoin Supply,2026-05-27,20035163.6525421
Bitcoin Supply,2026-05-28,20035669.90247168
Bitcoin Supply,2026-05-29,20036107.4023888
Bitcoin Supply,2026-05-30,20036551.15234781
Bitcoin Supply,2026-05-31,20037001.1523178
Bitcoin Supply,2026-06-01,20037423.02717851
Bitcoin Supply,2026-06-02,20037766.77706787
Bitcoin Supply,2026-06-03,20038104.27699146
Bitcoin Supply,2026-06-04,20038548.02685009
Bitcoin Supply,2026-06-05,20038969.90174006
Bitcoin Supply,2026-06-06,20039351.15171468
Bitcoin Supply,2026-06-07,20039716.77668165
Bitcoin Supply,2026-06-08,20040113.65053302
Bitcoin Miner Revenue,2026-05-10,39316639.14
Bitcoin Miner Revenue,2026-05-11,42854531.68
Bitcoin Miner Revenue,2026-05-12,34031894.89
Bitcoin Miner Revenue,2026-05-13,35305131.35
Bitcoin Miner Revenue,2026-05-14,38026081.62
Bitcoin Miner Revenue,2026-05-15,36823744.72
Bitcoin Miner Revenue,2026-05-16,37428872.23
Bitcoin Miner Revenue,2026-05-17,35294185.63
Bitcoin Miner Revenue,2026-05-18,33777027.92
Bitcoin Miner Revenue,2026-05-19,34247266.25
Bitcoin Miner Revenue,2026-05-20,37087336.05
Bitcoin Miner Revenue,2026-05-21,30948106.08
Bitcoin Miner Revenue,2026-05-22,38217694.25
Bitcoin Miner Revenue,2026-05-23,38873967.85
Bitcoin Miner Revenue,2026-05-24,31573780.77
Bitcoin Miner Revenue,2026-05-25,40550867.48
Bitcoin Miner Revenue,2026-05-26,33510484.61
Bitcoin Miner Revenue,2026-05-27,33205006.52
Bitcoin Miner Revenue,2026-05-28,37860812.87
Bitcoin Miner Revenue,2026-05-29,32403064.1
Bitcoin Miner Revenue,2026-05-30,32861667.21
Bitcoin Miner Revenue,2026-05-31,33867173.54
Bitcoin Miner Revenue,2026-06-01,30721631.17
Bitcoin Miner Revenue,2026-06-02,24042309.63
Bitcoin Miner Revenue,2026-06-03,22944723.41
Bitcoin Miner Revenue,2026-06-04,28838410.93
Bitcoin Miner Revenue,2026-06-05,26334356.74
Bitcoin Miner Revenue,2026-06-06,23360274.6
Bitcoin Miner Revenue,2026-06-07,22793371.0
Bitcoin Miner Revenue,2026-06-08,26082724.03
Bitcoin Transaction Volume,2026-05-10,44694132005.95
Bitcoin Transaction Volume,2026-05-11,62889306426.76
Bitcoin Transaction Volume,2026-05-12,57672554821.5
Bitcoin Transaction Volume,2026-05-13,63030315327.59
Bitcoin Transaction Volume,2026-05-14,64955622046.66
Bitcoin Transaction Volume,2026-05-15,62716340143.72
Bitcoin Transaction Volume,2026-05-16,46793418264.07
Bitcoin Transaction Volume,2026-05-17,35074281970.97
Bitcoin Transaction Volume,2026-05-18,56883194703.14
Bitcoin Transaction Volume,2026-05-19,59465357417.71
Bitcoin Transaction Volume,2026-05-20,49832385814.97
Bitcoin Transaction Volume,2026-05-21,48445493055.68
Bitcoin Transaction Volume,2026-05-22,59879474792.98
Bitcoin Transaction Volume,2026-05-23,40377927985.69
Bitcoin Transaction Volume,2026-05-24,39295916645.44
Bitcoin Transaction Volume,2026-05-25,52583987676.38
Bitcoin Transaction Volume,2026-05-26,56605351797.48
Bitcoin Transaction Volume,2026-05-27,68729786203.79
Bitcoin Transaction Volume,2026-05-28,77653350692.95
Bitcoin Transaction Volume,2026-05-29,63168688439.97
Bitcoin Transaction Volume,2026-05-30,41337957895.12
Bitcoin Transaction Volume,2026-05-31,43350604465.43
Bitcoin Transaction Volume,2026-06-01,64795548610.95
Bitcoin Transaction Volume,2026-06-02,79327617943.32
Bitcoin Transaction Volume,2026-06-03,69039596656.28
Bitcoin Transaction Volume,2026-06-04,65435119243.32
Bitcoin Transaction Volume,2026-06-05,67174917478.0
Bitcoin Transaction Volume,2026-06-06,40549054219.87
Bitcoin Transaction Volume,2026-06-07,35202778616.03
Bitcoin Transaction Volume,2026-06-08,50461583118.37
Bitcoin Dominance,2026-06-08,55.90525950230704
Bitcoin Fear & Greed Index,2026-05-10,47.0
Bitcoin Fear & Greed Index,2026-05-11,48.0
Bitcoin Fear & Greed Index,2026-05-12,49.0
Bitcoin Fear & Greed Index,2026-05-13,42.0
Bitcoin Fear & Greed Index,2026-05-14,34.0
Bitcoin Fear & Greed Index,2026-05-15,43.0
Bitcoin Fear & Greed Index,2026-05-16,31.0
Bitcoin Fear & Greed Index,2026-05-17,27.0
Bitcoin Fear & Greed Index,2026-05-18,28.0
Bitcoin Fear & Greed Index,2026-05-19,25.0
Bitcoin Fear & Greed Index,2026-05-20,27.0
Bitcoin Fear & Greed Index,2026-05-21,29.0
Bitcoin Fear & Greed Index,2026-05-22,28.0
Bitcoin Fear & Greed Index,2026-05-23,28.0
Bitcoin Fear & Greed Index,2026-05-24,25.0
Bitcoin Fear & Greed Index,2026-05-25,30.0
Bitcoin Fear & Greed Index,2026-05-26,34.0
Bitcoin Fear & Greed Index,2026-05-27,25.0
Bitcoin Fear & Greed Index,2026-05-28,22.0
Bitcoin Fear & Greed Index,2026-05-29,23.0
Bitcoin Fear & Greed Index,2026-05-30,23.0
Bitcoin Fear & Greed Index,2026-05-31,28.0
Bitcoin Fear & Greed Index,2026-06-01,29.0
Bitcoin Fear & Greed Index,2026-06-02,23.0
Bitcoin Fear & Greed Index,2026-06-03,11.0
Bitcoin Fear & Greed Index,2026-06-04,12.0
Bitcoin Fear & Greed Index,2026-06-05,12.0
Bitcoin Fear & Greed Index,2026-06-06,12.0
Bitcoin Fear & Greed Index,2026-06-07,12.0
Bitcoin Fear & Greed Index,2026-06-08,8.0
